U1,ATmega32U2,ATMEGA32U2-AU-ND
U2,16M-XO,887-1274-1-ND
U3,AD7680,AD7680ARJZ-REEL7CT-ND

J1,Mini-B,H2959CT-ND
S1,SPST-NO,CKN10358-ND
S2,SPST-NO,CKN10358-ND

C7,27p,399-1114-1-ND
C8,27p,399-1114-1-ND
C2,100n,311-1142-1-ND
C3,100n,311-1142-1-ND
C9,100n,311-1142-1-ND
C10,100n,311-1142-1-ND
C12,100n,311-1142-1-ND
C6,1u,399-1284-1-ND
C1,10u,399-3824-1-ND
C4,10u,399-3824-1-ND
C5,10u,399-3824-1-ND
C11,10u,399-3824-1-ND

R1,22,P22.0CCT-ND
R2,22,P22.0CCT-ND
R3,47k,P47.0KCCT-ND
R5,47k,P47.0KCCT-ND
R7,47k,P47.0KCCT-ND
R4,330,P330CCT-ND
R6,330,P330CCT-ND

L1,MMZ2012,445-2199-1-ND

D1,1N4148,1N4148WTPMSCT-ND
D2,1N4148,1N4148WTPMSCT-ND

