
# 01-overview.sch:
# ----------------

# 02-pulprog.sch:
# ---------------

# 03-mcu-core.sch:
# ----------------
CB01,100n,0603,490-1532-1-ND
CB02,100n,0603,490-1532-1-ND
CB03,10u,0805,511-1683-1-ND
CB04,10u,0805,511-1683-1-ND
C01,1u,0603,490-3898-1-ND
C02,27p,0603,490-1413-1-ND
C03,27p,0603,490-1413-1-ND
C04,100n,0603,490-1532-1-ND
C05,100n,0603,490-1532-1-ND
D01,SD101A,SOD323,SD101AWSTPMSCT-ND
D02,SD101A,SOD323,SD101AWSTPMSCT-ND
J01,Mini-B,-,H2959CT-ND
R01,22,0603,P22.0HCT-ND
R02,22,0603,P22.0HCT-ND
R03,10k,0603,P10.0KHCT-ND
R04,330,0603,P330HCT-ND
R05,10k,0603,P10.0KHCT-ND
R06,330,0603,P330HCT-ND
S01,SPST-NO,-,450-1758-1-ND
S02,SPST-NO,-,450-1758-1-ND
U01,ATm32u2,TQFP32,ATMEGA32U2-AU-ND
U02,XO-16M,SMD2,535-9840-1-ND

# 04-mcu-ports.sch:
# -----------------

# 05-dcdc.sch:
# ------------
CB05,4.7u,0603,490-7199-1-ND
CB06,4.7u,0603,490-7199-1-ND
C06,820p,0603,PCF1452CT-ND
C07,2.2n,1206,478-2953-1-ND
D03,BAS40-04,SOT23,BAS40-04-V-GS08CT-ND
D04,BAS40-04,SOT23,BAS40-04-V-GS08CT-ND
R07,10k,0603,P10.0KHCT-ND
R08,16.9k,0603,P16.9KDBCT-ND
R09,16.9k,0603,P16.9KDBCT-NDD
T01,CTX02-13665,-,513-1625-1-ND
U03,LT3439,TSSOP16,LT3439EFE#PBF-ND

# 06-ldo-5.0v.sch:
# ----------------
CB07,10u,0805,511-1683-1-ND
CB08,10u,0805,511-1683-1-ND
C08,15u,1812,445-3927-1-ND
C09,15u,1812,445-3927-1-ND
C10,10n,0603,445-2664-1-ND
C11,15u,1812,445-3927-1-ND
C12,15u,1812,445-3927-1-ND
C13,10n,0603,445-2664-1-ND
L01,33u,-,513-1063-1-ND
L02,33u,-,513-1063-1-ND
U04,LT1761-5V,SOT25,LT1761ES5-5#TRMPBFCT-ND
U05,LT1964-5V,SOT25,LT1964ES5-5#TRMPBFCT-ND

# 07-ldo-2.5v.sch:
# ----------------
CB09,100n,0603,490-1532-1-ND
CB10,100n,0603,490-1532-1-ND
CB11,10u,0805,511-1683-1-ND
CB12,100n,0603,490-1532-1-ND
CB13,100n,0603,490-1532-1-ND
CB14,10u,0805,511-1683-1-ND
R10,1.05k,0603,P1.05KHCT-ND
R11,1k,0603,P1.00KHCT-ND
R12,1.05k,0603,P1.05KHCT-ND
R13,1k,0603,P1.00KHCT-ND
U06,LT1761-ADJ,SOT25,LT1761ES5-SD#TRMPBFCT-ND
U07,LT1964-ADJ,SOT25,LT1964ES5-SD#TRMPBFCT-ND

# 08-ldo-hc.sch:
# --------------
J02,+/-12V,mini-XL,TRAPC3MX-ND
CB15,100n,0603,490-1532-1-ND
CB16,10u,0805,511-1683-1-ND
CB17,100n,0603,490-1532-1-ND
CB18,100u,1411,P16641CT-ND
CB19,100n,0603,490-1532-1-ND
CB20,10u,0805,511-1683-1-ND
CB21,100n,0603,490-1532-1-ND
CB22,100u,1411,P16641CT-ND
R14,3.16k,0603,P3.16KHCT-ND
R15,1k,0603,P1.00KHCT-ND
R16,1k,0603,P1.00KHCT-ND
R17,3.16k,0603,P3.16KHCT-ND
U08,LT1764,DDPAK5,LT1764AEQ#TRPBFCT-ND
U09,LT3015,DDPAK5,LT3015EQ#PBF-ND

# 09-iso.sch:
# -----------
CB23,100n,0603,490-1532-1-ND
CB24,10u,0805,511-1683-1-ND
R18,330,0603,P330HCT-ND
R19,330,0603,P330HCT-ND
R20,330,0603,P330HCT-ND
R21,10k,0603,P10.0KHCT-ND
R22,10k,0603,P10.0KHCT-ND
R23,10k,0603,P10.0KHCT-ND
U10,ACSL6300,SO16,516-2221-1-ND

# 10-asc-tune-1of2.sch:
# ---------------------
CB25,100n,0603,490-1532-1-ND
CB26,10u,0805,511-1683-1-ND
CB27,100n,0603,490-1532-1-ND
CB28,10u,0805,511-1683-1-ND
CT01,150p,0603,PCF1461CT-ND
CT02,330p,0603,PCF1465CT-ND
CT03,680p,0603,PCF1451CT-ND
CT04,1.5n,0603,PCF1455CT-ND
CT05,3.3n,0805,PCF1171CT-ND
CT06,6.8n,0805,PCF1175CT-ND
CT07,15n,1206,PCF1179CT-ND
CT08,33n,1206,PCF1183CT-ND
R24,10k,0603,P10.0KHCT-ND
U11,ADG714,TSSOP24,ADG714BRUZ-REEL7CT-ND

# 11-asc-tune-2of2.sch:
# ---------------------
CT09,68n,1210,PCF1187CT-ND
CT10,100n,1210,PCF1189CT-ND
CT11,220n,0805,PCF1128CT-ND
CT12,330n,1206,PCF1129CT-ND
CT13,680n,1206,PCF1131CT-ND
CT14,1u,0603,490-1536-1-ND
CT15,2.2u,0603,490-3296-1-ND
CT16,4.7u,0603,490-3338-1-ND
U12,ADG714,TSSOP24,ADG714BRUZ-REEL7CT-ND

# 12-asc-ina.sch:
# ---------------
CB29,100n,0603,490-1532-1-ND
CB30,10u,0805,511-1683-1-ND
CB31,100n,0603,490-1532-1-ND
CB32,10u,0805,511-1683-1-ND
C14,10n,0805,PCF1177CT-ND
C15,100n,0805,PCF1126CT-ND
C16,10n,0805,PCF1177CT-ND
C17,220p,0603,PCF1445CT-ND
D05,SD101A,SOD323,SD101AWSTPMSCT-ND
D06,SD101A,SOD323,SD101AWSTPMSCT-ND
L03,BLM,0603,490-1037-1-ND
L04,BLM,0603,490-1037-1-ND
R25,49.9,0603,P49.9DBCT-ND
R26,49.9,0603,P49.9DBCT-ND
R27,1M,0603,A102234CT-ND
R28,1M,0603,A102234CT-ND
U13,AD8428,SO8,AD8428ARZ-ND

# 13-asc-gain.sch:
# ----------------
CB33,100n,0603,490-1532-1-ND
CB34,10u,0805,511-1683-1-ND
CB35,100n,0603,490-1532-1-ND
CB36,10u,0805,511-1683-1-ND
C18,100n,0805,PCF1126CT-ND
R29,100k,0603,P100KDBCT-ND
R30,1k,0603,P1.0KDBCT-ND
R31,10,0603,CRT0603-BY-10R0ELFCT-ND
U14,AD8597,SO8,AD8597ARZ-ND

# 14-asc-fil-1of2.sch:
# --------------------
CB37,100n,0603,490-1532-1-ND
CB38,10u,0805,511-1683-1-ND
CB39,100n,0603,490-1532-1-ND
CB40,10u,0805,511-1683-1-ND
C19,10n,0805,PCF1177CT-ND
C20,10n,0805,PCF1177CT-ND
C21,10n,0805,PCF1177CT-ND
C22,10n,0805,PCF1177CT-ND
R32,14.3k,0603,P14.3KHCT-ND
R33,15.4k,0603,P15.4KHCT-ND
R34,45.3k,0603,P45.3KHCT-ND
R35,5.49k,0603,P5.49KHCT-ND
R36,6.04k,0603,P6.04KHCT-ND
R37,17.4k,0603,P17.4KHCT-ND
U15,OP462,TSSOP14,OP462HRUZ-REELCT-ND

# 15-asc-fil-2of2.sch:
# --------------------
C23,10n,0805,PCF1177CT-ND
C24,10n,0805,PCF1177CT-ND
C25,10n,0805,PCF1177CT-ND
C26,10n,0805,PCF1177CT-ND
R38,13.3k,0603,P13.3KHCT-ND
R39,5.23k,0603,P5.23KHCT-ND
R40,232k,0603,P232KHCT-ND
R41,2k,0603,P2.00KHCT-ND
R42,732,0603,P732HCT-ND
R43,34.8k,0603,P34.8KHCT-ND

# 16-adc.sch:
# -----------
CB41,100n,0603,490-1532-1-ND
CB42,10u,0805,511-1683-1-ND
CB43,100n,0603,490-1532-1-ND
CB44,10u,0805,511-1683-1-ND
CB45,100n,0603,490-1532-1-ND
CB46,10u,0805,511-1683-1-ND
C27,100n,0805,PCF1126CT-ND
C28,10n,0805,PCF1177CT-ND
L05,BLM,0603,490-1037-1-ND
R44,10k,0603,P10KDBCT-ND
R45,10k,0603,P10KDBCT-ND
R46,49.9,49.9,0603,P49.9DBCT-ND
R47,10k,0603,P10.0KHCT-ND
U16,ADA4841-1,SOT26,ADA4841-1YRJZ-R7CT-ND
U17,AD7680,SOT26,AD7680ARJZ-REEL7CT-ND

# 17-dac.sch:
# ----------
CB47,100n,0603,490-1532-1-ND
CB48,10u,0805,511-1683-1-ND
CB60,100n,0603,490-1532-1-ND
CB61,10u,0805,511-1683-1-ND
CB62,1u,0603,490-3898-1-ND
C32,1u,0603,490-3898-1-ND
U18,AD5752,TSSOP24-EP,AD5752RBREZ-ND
U22,ADR4520,SO8,ADR4520BRZ-ND

# 18-buf-shim.sch:
# ----------------
CB49,100n,0603,490-1532-1-ND
CB50,10u,0805,511-1683-1-ND
CB51,100n,0603,490-1532-1-ND
CB52,10u,0805,511-1683-1-ND
C30,10n,0603,445-2664-1-ND
D07,BAS40-04,SOT23,BAS40-04-V-GS08CT-ND
LJ01,Shim,BNC,A97555-ND
R48,0.0,0603,P0.0GCT-ND
R49,1M,0603,P1.00MHCT-ND
R50,715,0603,P715DBCT-ND
U19,LT1206,SO8,LT1206CS8#PBF-ND

# 19-buf-tx.sch:
# ----------------
CB53,100n,0603,490-1532-1-ND
CB54,10u,0805,511-1683-1-ND
CB55,100n,0603,490-1532-1-ND
CB56,10u,0805,511-1683-1-ND
D08,BAS40-04,SOT23,BAS40-04-V-GS08CT-ND
LJ02,Shim,BNC,A97555-ND
R51,715,0603,P715DBCT-ND
R52,0.0,0603,P0.0GCT-ND
R53,1M,0603,P1.00MHCT-ND
U20,LT1210,DDPAK7,LT1210CR#PBF-ND

# 20-pol.sch:
# -----------
CB57,100n,0603,490-1532-1-ND
CB58,100n,0603,490-1532-1-ND
CB59,10u,0805,511-1683-1-ND
D09,S5GC,DO214AB,S5GC-FDICT-ND
D10,SMDJ45A,DO214AB,SMDJ45ACT-ND
Q01,IRLR024N,DPAK,IRLR024NPBFCT-ND
R56,10k,0603,P10KDBCT-ND
R57,33.2,0603,P33.2HCT-ND
R58,1k,0603,P1.00KHCT-ND
U21,FAN3111E,SOT23,FAN3111ESXCT-ND

# 21-relay.sch:
# -------------
D11,SD101A,SOD323,SD101AWSTPMSCT-ND
LJ03,Coil,BNC,A97555-ND
K01,G6A-2,-,Z123-ND
Q02,FDN327N,SOT23,FDN327NCT-ND
R59,10k,0603,P10KDBCT-ND

# 22-leds.sch:
# ------------
DL1,LTST,0603,160-1828-1-ND
DL2,LTST,0603,160-1828-1-ND
DL3,LTST,0603,160-1828-1-ND
DL4,LTST,0603,160-1828-1-ND
DL5,LTST,0603,160-1828-1-ND
DL6,LTST,0603,160-1828-1-ND
DL7,LTST,0603,160-1828-1-ND
DL8,LTST,0603,160-1828-1-ND
RL1,604,0603,P604HCT-ND
RL2,604,0603,P604HCT-ND
RL3,604,0603,P604HCT-ND
RL4,604,0603,P604HCT-ND
RL5,604,0603,P604HCT-ND
RL6,604,0603,P604HCT-ND
RL7,604,0603,P604HCT-ND
RL8,604,0603,P604HCT-ND

