
# 01-overview.sch:
# ----------------

# 02-mcu-core.sch:
# ----------------
C01,100n,0805,311-1142-1-ND
C02,100n,0805,311-1142-1-ND
C03,10u,1206,399-3824-1-ND
C04,10u,1206,399-3824-1-ND
C05,1u,0805,399-1284-1-ND
C06,27p,0805,399-1114-1-ND
C07,27p,0805,399-1114-1-ND
C08,100n,0805,311-1142-1-ND
C09,100n,0805,311-1142-1-ND
D01,SD101A,SOD123,SD101AW-7FDICT-ND
D02,SD101A,SOD123,SD101AW-7FDICT-ND
J01,Mini-B,-,H2959CT-ND
R01,22,0805,P22.0CCT-ND
R02,22,0805,P22.0CCT-ND
R03,47k,0805,P47.0KCCT-ND
R04,330,0805,P330CCT-ND
R05,47k,0805,P47.0KCCT-ND
R06,330,0805,P330CCT-ND
S01,SPST-NO,-,450-1758-1-ND
S02,SPST-NO,-,450-1758-1-ND
U01,ATm32u2,TQFP32,ATMEGA32U2-AU-ND
U02,XO-16M,HC49US,887-1274-1-ND

# 03-mcu-ports.sch:
# -----------------

# 04-bootstrap.sch:
# -----------------
B01,7~10V,-,CP-037BHPJCT-ND
C10,10u,1206,399-3824-1-ND
C11,100n,0805,311-1142-1-ND
C12,10n,0805,PCF1177CT-ND
C13,10u,1206,399-3824-1-ND
C14,100n,0805,311-1142-1-ND
R07,715,0805,P715CCT-ND
U03,LT1761,SOT25,LT1761ES5-5#TRMPBFCT-ND
U04,HCPL0201,SO8,516-1483-1-ND

# 05-ldo.sch:
# -----------
C15,10u,1206,399-3824-1-ND
C16,100n,0805,311-1142-1-ND
C17,100u,1411,P16641CT-ND
C18,100n,0805,311-1142-1-ND
R08,1.00k,0805,P1.00KCCT-ND
R09,3.16k,0805,P3.16KCCT-ND
U05,LT1764AEQ,DDPAK5,LT1764AEQ#PBF-ND

# 06-dac.sch:
# ---------------
C19,10u,1206,399-3824-1-ND
C20,100n,0805,311-1142-1-ND
C21,10u,1206,399-3824-1-ND
C22,100n,0805,311-1142-1-ND
R10,330,0805,P330CCT-ND
R11,330,0805,P330CCT-ND
R12,330,0805,P330CCT-ND
R13,10k,0805,P10.0KCCT-ND
R14,10k,0805,P10.0KCCT-ND
R15,10k,0805,P10.0KCCT-ND
U06,ACSL6300,SO16,516-2221-1-ND
U07,AD5328,TSSOP16,AD5328ARUZ-ND

# 07-buf-x.sch:
# ----------------
C23,10u,1206,399-3824-1-ND
C24,100n,0805,311-1142-1-ND
C25,10u,1206,399-3824-1-ND
C26,100n,0805,311-1142-1-ND
D03,DB2W409,SOD123,DB2W40900LCT-ND
D04,DB2W409,SOD123,DB2W40900LCT-ND
D05,DB2W409,SOD123,DB2W40900LCT-ND
D06,DB2W409,SOD123,DB2W40900LCT-ND
L01,X-shim,BNC,A97555-ND
RU1,0.0,0805,P0.0ACT-ND
RL1,1M,0805,P1.00MCCT-ND
RU2,0.0,0805,P0.0ACT-ND
RL2,1M,0805,P1.00MCCT-ND
U08,TLV4110,MSOP8,296-10713-1-ND
U09,TLV4110,MSOP8,296-10713-1-ND

# 08-buf-y.sch:
# ----------------
C27,10u,1206,399-3824-1-ND
C28,100n,0805,311-1142-1-ND
C29,10u,1206,399-3824-1-ND
C30,100n,0805,311-1142-1-ND
D07,DB2W409,SOD123,DB2W40900LCT-ND
D08,DB2W409,SOD123,DB2W40900LCT-ND
D09,DB2W409,SOD123,DB2W40900LCT-ND
D10,DB2W409,SOD123,DB2W40900LCT-ND
L02,Y-shim,BNC,A97555-ND
RU3,0.0,0805,P0.0ACT-ND
RL3,1M,0805,P1.00MCCT-ND
RU4,0.0,0805,P0.0ACT-ND
RL4,1M,0805,P1.00MCCT-ND
U10,TLV4110,MSOP8,296-10713-1-ND
U11,TLV4110,MSOP8,296-10713-1-ND

# 09-buf-z.sch:
# ----------------
C31,10u,1206,399-3824-1-ND
C32,100n,0805,311-1142-1-ND
C33,10u,1206,399-3824-1-ND
C34,100n,0805,311-1142-1-ND
D11,DB2W409,SOD123,DB2W40900LCT-ND
D12,DB2W409,SOD123,DB2W40900LCT-ND
D13,DB2W409,SOD123,DB2W40900LCT-ND
D14,DB2W409,SOD123,DB2W40900LCT-ND
L03,Z-shim,BNC,A97555-ND
RU5,0.0,0805,P0.0ACT-ND
RL5,1M,0805,P1.00MCCT-ND
RU6,0.0,0805,P0.0ACT-ND
RL6,1M,0805,P1.00MCCT-ND
U12,TLV4110,MSOP8,296-10713-1-ND
U13,TLV4110,MSOP8,296-10713-1-ND

# 10-leds.sch:
# ------------
DL1,LNJP,0603,LNJP12X8ARACT-ND
DL2,LNJP,0603,LNJP12X8ARACT-ND
DL3,LNJP,0603,LNJP12X8ARACT-ND
DL4,LNJP,0603,LNJP12X8ARACT-ND
RD1,422,0805,P422CCT-ND
RD2,422,0805,P422CCT-ND
RD3,422,0805,P422CCT-ND
RD4,422,0805,P422CCT-ND

